Date,Product_ID,Product_Name,Category,Units_Sold,Selling_Price,Current_Stock,Supplier_Lead_Time,Day_Of_Week,Month,Season,Festival,Weekend
2025-01-01,P001,Rice 5kg,Grocery,20,450,204,5,Wednesday,1,Winter,No,No
2025-01-01,P002,Sugar 1kg,Grocery,16,55,212,10,Wednesday,1,Winter,No,No
2025-01-01,P003,Tea Pack,Beverages,32,120,219,10,Wednesday,1,Winter,No,No
2025-01-01,P004,Cooking Oil,Grocery,18,180,265,5,Wednesday,1,Winter,No,No
2025-01-01,P005,Biscuits,Snacks,15,20,273,7,Wednesday,1,Winter,No,No
2025-01-01,P006,Milk,Dairy,20,30,227,10,Wednesday,1,Winter,No,No
2025-01-01,P007,Shampoo,Personal Care,23,180,415,2,Wednesday,1,Winter,No,No
2025-01-01,P008,Soap,Personal Care,8,40,53,7,Wednesday,1,Winter,No,No
2025-01-01,P009,Cold Drink,Beverages,22,50,319,10,Wednesday,1,Winter,No,No
2025-01-01,P010,Chips,Snacks,16,25,419,6,Wednesday,1,Winter,No,No
2025-01-01,P011,Detergent,Household,18,220,471,4,Wednesday,1,Winter,No,No
2025-01-01,P012,Flour,Grocery,15,60,213,4,Wednesday,1,Winter,No,No
2025-01-01,P013,Coffee,Beverages,18,250,318,3,Wednesday,1,Winter,No,No
2025-01-01,P014,Toothpaste,Personal Care,12,90,330,4,Wednesday,1,Winter,No,No
2025-01-01,P015,Instant Noodles,Food,12,35,462,8,Wednesday,1,Winter,No,No
2025-01-02,P001,Rice 5kg,Grocery,27,450,466,6,Thursday,1,Winter,No,No
2025-01-02,P002,Sugar 1kg,Grocery,26,55,254,3,Thursday,1,Winter,No,No
2025-01-02,P003,Tea Pack,Beverages,28,120,179,6,Thursday,1,Winter,No,No
2025-01-02,P004,Cooking Oil,Grocery,11,180,234,6,Thursday,1,Winter,No,No
2025-01-02,P005,Biscuits,Snacks,15,20,490,8,Thursday,1,Winter,No,No
2025-01-02,P006,Milk,Dairy,13,30,96,3,Thursday,1,Winter,No,No
2025-01-02,P007,Shampoo,Personal Care,26,180,341,6,Thursday,1,Winter,No,No
2025-01-02,P008,Soap,Personal Care,20,40,350,6,Thursday,1,Winter,No,No
2025-01-02,P009,Cold Drink,Beverages,23,50,226,3,Thursday,1,Winter,No,No
2025-01-02,P010,Chips,Snacks,10,25,403,9,Thursday,1,Winter,No,No
2025-01-02,P011,Detergent,Household,25,220,235,8,Thursday,1,Winter,No,No
2025-01-02,P012,Flour,Grocery,25,60,482,3,Thursday,1,Winter,No,No
2025-01-02,P013,Coffee,Beverages,15,250,311,4,Thursday,1,Winter,No,No
2025-01-02,P014,Toothpaste,Personal Care,26,90,433,8,Thursday,1,Winter,No,No
2025-01-02,P015,Instant Noodles,Food,17,35,300,7,Thursday,1,Winter,No,No
2025-01-03,P001,Rice 5kg,Grocery,22,450,215,10,Friday,1,Winter,No,No
2025-01-03,P002,Sugar 1kg,Grocery,8,55,213,10,Friday,1,Winter,No,No
2025-01-03,P003,Tea Pack,Beverages,26,120,69,5,Friday,1,Winter,No,No
2025-01-03,P004,Cooking Oil,Grocery,14,180,336,10,Friday,1,Winter,No,No
2025-01-03,P005,Biscuits,Snacks,17,20,353,9,Friday,1,Winter,No,No
2025-01-03,P006,Milk,Dairy,21,30,52,9,Friday,1,Winter,No,No
2025-01-03,P007,Shampoo,Personal Care,14,180,423,6,Friday,1,Winter,No,No
2025-01-03,P008,Soap,Personal Care,15,40,164,5,Friday,1,Winter,No,No
2025-01-03,P009,Cold Drink,Beverages,9,50,245,10,Friday,1,Winter,No,No
2025-01-03,P010,Chips,Snacks,14,25,359,4,Friday,1,Winter,No,No
2025-01-03,P011,Detergent,Household,22,220,459,9,Friday,1,Winter,No,No
2025-01-03,P012,Flour,Grocery,26,60,382,5,Friday,1,Winter,No,No
2025-01-03,P013,Coffee,Beverages,25,250,419,7,Friday,1,Winter,No,No
2025-01-03,P014,Toothpaste,Personal Care,21,90,62,7,Friday,1,Winter,No,No
2025-01-03,P015,Instant Noodles,Food,21,35,66,10,Friday,1,Winter,No,No
2025-01-04,P001,Rice 5kg,Grocery,19,450,383,3,Saturday,1,Winter,No,Yes
2025-01-04,P002,Sugar 1kg,Grocery,15,55,224,3,Saturday,1,Winter,No,Yes
2025-01-04,P003,Tea Pack,Beverages,43,120,374,7,Saturday,1,Winter,No,Yes
2025-01-04,P004,Cooking Oil,Grocery,14,180,57,6,Saturday,1,Winter,No,Yes
2025-01-04,P005,Biscuits,Snacks,37,20,154,7,Saturday,1,Winter,No,Yes
2025-01-04,P006,Milk,Dairy,21,30,112,3,Saturday,1,Winter,No,Yes
2025-01-04,P007,Shampoo,Personal Care,21,180,190,6,Saturday,1,Winter,No,Yes
2025-01-04,P008,Soap,Personal Care,25,40,110,2,Saturday,1,Winter,No,Yes
2025-01-04,P009,Cold Drink,Beverages,16,50,276,5,Saturday,1,Winter,No,Yes
2025-01-04,P010,Chips,Snacks,31,25,470,3,Saturday,1,Winter,No,Yes
2025-01-04,P011,Detergent,Household,16,220,140,5,Saturday,1,Winter,No,Yes
2025-01-04,P012,Flour,Grocery,23,60,121,5,Saturday,1,Winter,No,Yes
2025-01-04,P013,Coffee,Beverages,47,250,438,6,Saturday,1,Winter,No,Yes
2025-01-04,P014,Toothpaste,Personal Care,28,90,435,2,Saturday,1,Winter,No,Yes
2025-01-04,P015,Instant Noodles,Food,16,35,179,4,Saturday,1,Winter,No,Yes
2025-01-05,P001,Rice 5kg,Grocery,31,450,267,8,Sunday,1,Winter,No,Yes
2025-01-05,P002,Sugar 1kg,Grocery,14,55,266,10,Sunday,1,Winter,No,Yes
2025-01-05,P003,Tea Pack,Beverages,19,120,175,3,Sunday,1,Winter,No,Yes
2025-01-05,P004,Cooking Oil,Grocery,26,180,299,5,Sunday,1,Winter,No,Yes
2025-01-05,P005,Biscuits,Snacks,20,20,163,7,Sunday,1,Winter,No,Yes
2025-01-05,P006,Milk,Dairy,23,30,460,8,Sunday,1,Winter,No,Yes
2025-01-05,P007,Shampoo,Personal Care,9,180,463,8,Sunday,1,Winter,No,Yes
2025-01-05,P008,Soap,Personal Care,14,40,383,2,Sunday,1,Winter,No,Yes
2025-01-05,P009,Cold Drink,Beverages,19,50,478,7,Sunday,1,Winter,No,Yes
2025-01-05,P010,Chips,Snacks,34,25,427,7,Sunday,1,Winter,No,Yes
2025-01-05,P011,Detergent,Household,23,220,268,5,Sunday,1,Winter,No,Yes
2025-01-05,P012,Flour,Grocery,24,60,463,8,Sunday,1,Winter,No,Yes
2025-01-05,P013,Coffee,Beverages,33,250,484,10,Sunday,1,Winter,No,Yes
2025-01-05,P014,Toothpaste,Personal Care,12,90,275,10,Sunday,1,Winter,No,Yes
2025-01-05,P015,Instant Noodles,Food,30,35,416,3,Sunday,1,Winter,No,Yes
2025-01-06,P001,Rice 5kg,Grocery,23,450,159,6,Monday,1,Winter,No,No
2025-01-06,P002,Sugar 1kg,Grocery,20,55,82,4,Monday,1,Winter,No,No
2025-01-06,P003,Tea Pack,Beverages,25,120,209,3,Monday,1,Winter,No,No
2025-01-06,P004,Cooking Oil,Grocery,15,180,472,9,Monday,1,Winter,No,No
2025-01-06,P005,Biscuits,Snacks,16,20,429,3,Monday,1,Winter,No,No
2025-01-06,P006,Milk,Dairy,22,30,381,7,Monday,1,Winter,No,No
2025-01-06,P007,Shampoo,Personal Care,28,180,206,2,Monday,1,Winter,No,No
2025-01-06,P008,Soap,Personal Care,10,40,88,7,Monday,1,Winter,No,No
2025-01-06,P009,Cold Drink,Beverages,13,50,75,4,Monday,1,Winter,No,No
2025-01-06,P010,Chips,Snacks,23,25,453,4,Monday,1,Winter,No,No
2025-01-06,P011,Detergent,Household,25,220,158,6,Monday,1,Winter,No,No
2025-01-06,P012,Flour,Grocery,22,60,188,10,Monday,1,Winter,No,No
2025-01-06,P013,Coffee,Beverages,15,250,389,5,Monday,1,Winter,No,No
2025-01-06,P014,Toothpaste,Personal Care,11,90,212,4,Monday,1,Winter,No,No
2025-01-06,P015,Instant Noodles,Food,17,35,320,3,Monday,1,Winter,No,No
2025-01-07,P001,Rice 5kg,Grocery,24,450,107,3,Tuesday,1,Winter,No,No
2025-01-07,P002,Sugar 1kg,Grocery,20,55,162,5,Tuesday,1,Winter,No,No
2025-01-07,P003,Tea Pack,Beverages,14,120,195,8,Tuesday,1,Winter,No,No
2025-01-07,P004,Cooking Oil,Grocery,21,180,280,7,Tuesday,1,Winter,No,No
2025-01-07,P005,Biscuits,Snacks,27,20,381,6,Tuesday,1,Winter,No,No
2025-01-07,P006,Milk,Dairy,23,30,146,10,Tuesday,1,Winter,No,No
2025-01-07,P007,Shampoo,Personal Care,24,180,246,2,Tuesday,1,Winter,No,No
2025-01-07,P008,Soap,Personal Care,19,40,130,8,Tuesday,1,Winter,No,No
2025-01-07,P009,Cold Drink,Beverages,10,50,89,7,Tuesday,1,Winter,No,No
2025-01-07,P010,Chips,Snacks,23,25,378,6,Tuesday,1,Winter,No,No
2025-01-07,P011,Detergent,Household,10,220,233,8,Tuesday,1,Winter,No,No
2025-01-07,P012,Flour,Grocery,24,60,145,9,Tuesday,1,Winter,No,No
2025-01-07,P013,Coffee,Beverages,28,250,138,7,Tuesday,1,Winter,No,No
2025-01-07,P014,Toothpaste,Personal Care,20,90,382,5,Tuesday,1,Winter,No,No
2025-01-07,P015,Instant Noodles,Food,15,35,260,9,Tuesday,1,Winter,No,No
2025-01-08,P001,Rice 5kg,Grocery,14,450,310,10,Wednesday,1,Winter,No,No
2025-01-08,P002,Sugar 1kg,Grocery,13,55,94,9,Wednesday,1,Winter,No,No
2025-01-08,P003,Tea Pack,Beverages,19,120,442,8,Wednesday,1,Winter,No,No
2025-01-08,P004,Cooking Oil,Grocery,10,180,172,3,Wednesday,1,Winter,No,No
2025-01-08,P005,Biscuits,Snacks,17,20,126,9,Wednesday,1,Winter,No,No
2025-01-08,P006,Milk,Dairy,13,30,338,10,Wednesday,1,Winter,No,No
2025-01-08,P007,Shampoo,Personal Care,26,180,344,7,Wednesday,1,Winter,No,No
2025-01-08,P008,Soap,Personal Care,22,40,251,7,Wednesday,1,Winter,No,No
2025-01-08,P009,Cold Drink,Beverages,18,50,467,7,Wednesday,1,Winter,No,No
2025-01-08,P010,Chips,Snacks,25,25,157,6,Wednesday,1,Winter,No,No
2025-01-08,P011,Detergent,Household,12,220,411,4,Wednesday,1,Winter,No,No
2025-01-08,P012,Flour,Grocery,14,60,379,4,Wednesday,1,Winter,No,No
2025-01-08,P013,Coffee,Beverages,16,250,139,5,Wednesday,1,Winter,No,No
2025-01-08,P014,Toothpaste,Personal Care,21,90,447,9,Wednesday,1,Winter,No,No
2025-01-08,P015,Instant Noodles,Food,22,35,215,5,Wednesday,1,Winter,No,No
2025-01-09,P001,Rice 5kg,Grocery,16,450,401,4,Thursday,1,Winter,No,No
2025-01-09,P002,Sugar 1kg,Grocery,20,55,233,6,Thursday,1,Winter,No,No
2025-01-09,P003,Tea Pack,Beverages,15,120,259,4,Thursday,1,Winter,No,No
2025-01-09,P004,Cooking Oil,Grocery,16,180,430,6,Thursday,1,Winter,No,No
2025-01-09,P005,Biscuits,Snacks,24,20,431,7,Thursday,1,Winter,No,No
2025-01-09,P006,Milk,Dairy,18,30,152,5,Thursday,1,Winter,No,No
2025-01-09,P007,Shampoo,Personal Care,11,180,431,9,Thursday,1,Winter,No,No
2025-01-09,P008,Soap,Personal Care,13,40,347,6,Thursday,1,Winter,No,No
2025-01-09,P009,Cold Drink,Beverages,19,50,222,4,Thursday,1,Winter,No,No
2025-01-09,P010,Chips,Snacks,27,25,61,8,Thursday,1,Winter,No,No
2025-01-09,P011,Detergent,Household,16,220,107,6,Thursday,1,Winter,No,No
2025-01-09,P012,Flour,Grocery,12,60,106,9,Thursday,1,Winter,No,No
